school,state,weirdreason
University of Texas Health Science Center at Houston (UTHealth),TX,
University of Texas Health Science Center at San Antonio,TX,
University of Texas Health Science Center at Tyler,TX,
Texas A&M University,TX,
Prairie View A&M University,TX,
Tarleton State University,TX,
Texas A&M International University,TX,
Texas A&M University–Central Texas,TX,
Texas A&M University–Commerce,TX,
Texas A&M University–Corpus Christi,TX,
Texas A&M University–Kingsville,TX,
Texas A&M University–San Antonio,TX,
Texas A&M University–Texarkana,TX,
West Texas A&M University,TX,
Texas Southern University,TX,
Lamar University,TX,
Sam Houston State University,TX,
Sul Ross State University,TX,
Texas State University,TX,
Angelo State University,TX,
Texas Tech University,TX,
Texas Woman's University,TX,
Dixie State University (Dixie State),UT,
Southern Utah University (Southern Utah or SUU),UT,
"University of Utah (Utah, U of U, or UU)",UT,
Utah State University (Utah State or USU),UT,
Utah Valley University (Utah Valley or UVU),UT,
Weber State University (Weber State),UT,
Castleton University (Castleton State or Castleton),VT,
Johnson State College,VT,
Lyndon State College,VT,
University of Vermont (UVM),VT,
Christopher Newport University (CNU),VA,
Eastern Virginia Medical School (EVMS),VA,
George Mason University (GMU),VA,
James Madison University (JMU),VA,
Longwood University,VA,
"University of Mary Washington (Mary Washington or UMW, pronounced ""UM W"")",VA,
Norfolk State University,VA,
Old Dominion University (Old Dominion or ODU),VA,
Radford University,VA,
University of Virginia (UVA),VA,
University of Virginia's College at Wise (UVA at Wise or UVA-Wise),VA,
Virginia Commonwealth University (VCU),VA,
Virginia Military Institute (VMI),VA,
Virginia Polytechnic Institute and State University (Virginia Tech),VA,
Virginia–Maryland College of Veterinary Medicine,VA,"a constituent of both Virginia Tech and the University of Maryland, College Park"
Virginia State University,VA,
The College of William & Mary (William and Mary),VA,
University of the Virgin Islands - St. Croix campus (UVI-St. Croix),VIRGINISLANDS,not a state
University of the Virgin Islands - St. Thomas campus (UVI-St. Thomas),VIRGINISLANDS,not a state
Central Washington University (CWU),WA,
Eastern Washington University (EWU),WA,
The Evergreen State College,WA,
University of Washington (Washington or UW) (Seattle - flagship/main campus),WA,
UW Tacoma campus (see University of Washington Tacoma),WA,
UW Bothell campus,WA,
Washington State University (Wazzu or WSU) (Pullman - flagship/main campus),WA,
WSU Spokane campus (WSU-Spokane or Spokane),WA,
WSU Tri-Cities campus (WSU-Tri-Cities or Tri-Cities),WA,
WSU Vancouver campus (WSU-Vancouver or Vancouver),WA,
Western Washington University (WWU),WA,
Bluefield State College,WV,
Concord University,WV,
Fairmont State University,WV,
Glenville State College,WV,
Marshall University,WV,
Marshall University Graduate College,WV,
Shepherd University,WV,
West Liberty University,WV,
West Virginia University (WVU),WV,
Potomac State College of West Virginia University (Potomac State College or Potomac State),WV,community college
West Virginia University Institute of Technology (WVU Tech or West Virginia Tech),WV,
West Virginia School of Osteopathic Medicine,WV,
West Virginia State University (WVSU),WV,
University of Wisconsin–Madison,WI,
University of Wisconsin–Eau Claire,WI,
University of Wisconsin–Green Bay,WI,
University of Wisconsin–La Crosse,WI,
University of Wisconsin–Milwaukee,WI,
University of Wisconsin–Oshkosh,WI,
University of Wisconsin–Parkside,WI,
University of Wisconsin–Platteville,WI,
University of Wisconsin–River Falls,WI,
University of Wisconsin–Stevens Point,WI,
University of Wisconsin–Stout,WI,
University of Wisconsin–Superior,WI,
University of Wisconsin–Whitewater,WI,
University of Wyoming,WY,
