,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9 ,0.4 ,20.7 ,12.0 ,14.2 ,20.5 ,23.3 ,16.1 ,16.2 ,15.5 ,17.8 ,24.9 ,33.0 ,26.3 ,22.6 ,24.7 ,23.9 ,24.4 ,24.0 ,19.9 
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.1 ,27.3 ,25.9 ,27.6 ,34.8 ,42.4 ,65.4 ,74.3 ,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.2 ,180.0 ,152.9 ,154.8 ,204.1 ,217.9 ,255.2 ,267.1 ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,,,,,,12.7 ,14.3 ,66.1 ,73.0 ,92.0 ,110.0 ,133.4 ,139.7 ,126.9 ,108.8 ,143.5 ,181.1 ,238.4 ,227.0 ,250.7 ,294.5 ,411.0 ,446.0 ,532.0 ,475.0 ,603.0 ,647.0 ,703.0 ,746.0 ,958.0 ,1060.0 ,1020.0 ,923.0 ,1430.0 ,1750.0 ,2174.0 ,2596.9 ,3577.1 ,4750.0 ,4174.1 ,4118.5 ,4427.0 ,5099.6 ,5778.7 ,5821.6 ,
Switzerland,,,,,,,,1306.0 ,1867.0 ,2125.0 ,2343.0 ,2330.0 ,2759.0 ,2688.0 ,2475.0 ,2509.0 ,3780.0 ,5040.0 ,5760.0 ,6110.0 ,8170.0 ,8670.0 ,8860.0 ,8230.0 ,8720.0 ,10120.0 ,9610.0 ,7850.0 ,7770.0 ,7580.0 ,7590.0 ,8380.0 ,9230.0 ,11450.0 ,12920.0 ,9986.0 ,10705.1 ,12247.7 ,14458.7 ,14906.4 ,16878.3 ,21588.0 ,21966.5 ,23288.7 ,24693.0 ,
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0 ,107.0 ,106.0 ,111.0 ,141.0 ,168.0 ,205.0 ,255.0 ,330.0 ,918.0 ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,66.1 ,84.0 ,122.8 ,194.4 ,213.2 ,222.0 ,212.0 ,209.0 ,246.8 ,274.4 ,304.0 ,365.0 ,365.0 ,381.0 ,403.0 ,312.0 ,292.0 ,341.0 ,428.0 ,555.0 ,674.0 ,653.0 ,565.0 ,533.0 ,587.0 ,701.0 ,872.0 ,951.0 ,966.0 ,1055.0 ,1053.0 ,1059.0 ,1219.0 ,1777.0 ,2253.0 ,1531.1 ,2051.2 ,2980.9 ,3366.4 ,3224.4 ,4655.5 ,6597.6 ,7288.0 ,7353.4 ,6999.9 ,
Brazil,,,,,,108.0 ,103.0 ,114.0 ,147.0 ,27.0 ,152.0 ,154.0 ,168.0 ,19.0 ,5.0 ,6.0 ,10.0 ,10.0 ,7.0 ,9.0 ,12.0 ,22.0 ,34.0 ,203.0 ,252.0 ,347.0 ,409.0 ,375.0 ,444.0 ,330.0 ,365.7 ,709.0 ,360.5 ,333.2 ,401.1 ,374.0 ,529.3 ,562.6 ,813.1 ,730.9 ,1023.7 ,1123.8 ,1063.7 ,1150.2 ,1538.8 ,1339.1 
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3318.2 ,3352.5 ,4644.4 ,4943.6 ,4657.2 ,5290.2 ,5556.1 ,5630.4 ,5612.4 ,5392.9 ,
China,,,,,,,,,,,,,3.0 ,2.0 ,2.0 ,3.0 ,3.0 ,3.0 ,4.0 ,3.0 ,5.0 ,18.0 ,15.0 ,15.0 ,19.0 ,,,219.0 ,319.0 ,619.0 ,789.0 ,990.0 ,1223.0 ,1597.0 ,1996.0 ,1817.0 ,2330.0 ,2493.0 ,2736.0 ,2052.0 ,1455.0 ,1618.0 ,1788.0 ,1714.0 ,4155.0 ,
India,,,,,,,9.1 ,11.6 ,57.4 ,10.2 ,29.2 ,15.4 ,13.5 ,39.7 ,27.5 ,30.9 ,42.1 ,65.5 ,93.1 ,98.7 ,106.0 ,51.6 ,67.8 ,259.0 ,351.0 ,419.0 ,538.0 ,162.0 ,44.2 ,36.2 ,486.0 ,751.0 ,1187.0 ,1265.0 ,1653.0 ,1348.3 ,1561.9 ,2059.3 ,3812.4 ,2890.0 ,3828.7 ,4077.7 ,4963.1 ,6412.8 ,6222.1 ,
Japan,,,,,,,,130.0 ,160.0 ,200.0 ,220.0 ,240.0 ,330.0 ,320.0 ,290.0 ,,,,,,,1300.0 ,1370.0 ,1580.0 ,1580.0 ,1820.0 ,3556.0 ,3624.0 ,3399.0 ,3539.0 ,3169.0 ,2944.0 ,3345.0 ,1773.0 ,1411.0 ,1149.5 ,3332.2 ,3639.4 ,4548.1 ,3932.0 ,4365.7 ,4536.2 ,4042.6 ,2872.3 ,4214.8 ,
Korea,,,,,,,1.0 ,2.0 ,3.0 ,4.0 ,57.7 ,33.3 ,26.8 ,21.4 ,36.6 ,27.0 ,36.5 ,33.9 ,154.6 ,821.6 ,1026.2 ,1274.3 ,1409.0 ,1180.4 ,1356.4 ,2062.0 ,2900.0 ,2796.2 ,1682.2 ,2492.3 ,3650.6 ,4499.2 ,5843.8 ,7932.3 ,8306.0 ,6667.3 ,7215.1 ,7723.1 ,7545.2 ,7152.7 ,9123.0 ,9585.9 ,9380.3 ,8990.9 ,9570.5 ,8321.4 
Mexico,,,,,,,,,,,11.0 ,19.0 ,7.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,867.0 ,1001.8 ,
New Zealand,,,52.6 ,77.4 ,109.0 ,99.7 ,95.5 ,99.0 ,129.6 ,140.0 ,151.0 ,191.7 ,134.2 ,131.9 ,121.5 ,126.9 ,171.6 ,241.5 ,347.0 ,352.7 ,366.3 ,350.1 ,311.0 ,291.0 ,349.0 ,427.0 ,605.0 ,683.0 ,437.0 ,469.0 ,459.3 ,397.7 ,393.1 ,605.3 ,858.4 ,647.3 ,552.0 ,622.6 ,624.3 ,524.5 ,533.9 ,609.8 ,661.6 ,707.9 ,709.0 ,
Russian Federation,,,,,,,,,,,,,,,,,,,,,,,,,3692.0 ,3939.0 ,4037.0 ,3498.0 ,2555.0 ,1404.0 ,1099.0 ,1822.0 ,2226.0 ,3237.0 ,5180.0 ,6827.2 ,12104.4 ,19880.6 ,29718.8 ,21147.7 ,21454.0 ,26010.5 ,31647.7 ,37216.7 ,32640.4 ,
United States,650.0 ,700.0 ,670.0 ,710.0 ,680.0 ,590.0 ,650.0 ,1060.0 ,1170.0 ,1220.0 ,1360.0 ,4720.0 ,5140.0 ,5450.0 ,5990.0 ,6330.0 ,8660.0 ,8810.0 ,9010.0 ,10220.0 ,11850.0 ,13920.0 ,16150.0 ,18030.0 ,20350.0 ,22160.0 ,23700.0 ,25570.0 ,27390.0 ,33300.0 ,34400.0 ,38200.0 ,40200.0 ,40000.0 ,43400.0 ,47254.0 ,50756.0 ,52650.0 ,55527.0 ,50723.0 ,50776.0 ,50556.0 ,52652.0 ,55469.0 ,56311.0 ,
All numbers are in current (nominal) US-Dollars.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: 
World Bank staff calculation based on data from IMF Balance of Payments Statistics database and data releases from central banks, national statistical agencies, and World Bank country desks. See Migration and Development Brief 12 for the methodology for the forecasts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
