"Stage Name","Stage Date","Stage Category","General Classification Url","Points Classification Url","Stage Classification Url","Competition Date","Competition Name","Competition Result Page Url","Country","Class Code","getsum"
"Stage 20","27 May 2017","","","","","05 May-28 May 2017","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/32964?disciplineId=10","ITA","2.UWT","1"
"Stage 21 - ITT","28 May 2017","","","","","05 May-28 May 2017","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/32964?disciplineId=10","ITA","2.UWT","1"
"Final Classification","28 May 2017","","https://dataride.uci.ch/iframe/EventResults/17430?competitionId=32964&disciplineId=10","https://dataride.uci.ch/iframe/EventResults/17431?competitionId=32964&disciplineId=10","","05 May-28 May 2017","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/32964?disciplineId=10","ITA","2.UWT","1"
"Stage 1","05 May 2012","","","","","05 May-27 May 2012","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/42717?disciplineId=10","ITA","2.UWT","1"
"Stage 2","06 May 2012","","","","","05 May-27 May 2012","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/42717?disciplineId=10","ITA","2.UWT","1"
"Stage 3","07 May 2012","","","","","05 May-27 May 2012","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/42717?disciplineId=10","ITA","2.UWT","1"
"Stage 4","09 May 2012","","","","","05 May-27 May 2012","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/42717?disciplineId=10","ITA","2.UWT","1"
"Stage 5","10 May 2012","","","","","05 May-27 May 2012","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/42717?disciplineId=10","ITA","2.UWT","1"
"Stage 6","11 May 2012","","","","","05 May-27 May 2012","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/42717?disciplineId=10","ITA","2.UWT","1"
"Stage 7","12 May 2012","","","","","05 May-27 May 2012","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/42717?disciplineId=10","ITA","2.UWT","1"
"Stage 8","13 May 2012","","","","","05 May-27 May 2012","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/42717?disciplineId=10","ITA","2.UWT","1"
"Stage 9","14 May 2012","","","","","05 May-27 May 2012","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/42717?disciplineId=10","ITA","2.UWT","1"
"Stage 10","15 May 2012","","","","","05 May-27 May 2012","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/42717?disciplineId=10","ITA","2.UWT","1"
"Stage 11","16 May 2012","","","","","05 May-27 May 2012","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/42717?disciplineId=10","ITA","2.UWT","1"
"Stage 12","17 May 2012","","","","","05 May-27 May 2012","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/42717?disciplineId=10","ITA","2.UWT","1"
"Stage 13","18 May 2012","","","","","05 May-27 May 2012","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/42717?disciplineId=10","ITA","2.UWT","1"
"Stage 14","19 May 2012","","","","","05 May-27 May 2012","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/42717?disciplineId=10","ITA","2.UWT","1"
"Stage 15","20 May 2012","","","","","05 May-27 May 2012","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/42717?disciplineId=10","ITA","2.UWT","1"
"Stage 16","22 May 2012","","","","","05 May-27 May 2012","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/42717?disciplineId=10","ITA","2.UWT","1"
"Stage 17","23 May 2012","","","","","05 May-27 May 2012","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/42717?disciplineId=10","ITA","2.UWT","1"
"Stage 18","24 May 2012","","","","","05 May-27 May 2012","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/42717?disciplineId=10","ITA","2.UWT","1"
"Stage 19","25 May 2012","","","","","05 May-27 May 2012","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/42717?disciplineId=10","ITA","2.UWT","1"
"Stage 20","26 May 2012","","","","","05 May-27 May 2012","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/42717?disciplineId=10","ITA","2.UWT","1"
"Stage 21","27 May 2012","","","","","05 May-27 May 2012","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/42717?disciplineId=10","ITA","2.UWT","1"
"Final Classification","27 May 2012","","https://dataride.uci.ch/iframe/EventResults/122249?competitionId=42717&disciplineId=10","https://dataride.uci.ch/iframe/EventResults/122252?competitionId=42717&disciplineId=10","","05 May-27 May 2012","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/42717?disciplineId=10","ITA","2.UWT","1"
"Stage 1","04 May 2013","","","","","04 May-26 May 2013","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/42719?disciplineId=10","ITA","2.UWT","1"
"Stage 2","05 May 2013","","","","","04 May-26 May 2013","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/42719?disciplineId=10","ITA","2.UWT","1"
"Stage 3","06 May 2013","","","","","04 May-26 May 2013","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/42719?disciplineId=10","ITA","2.UWT","1"
"Stage 4","07 May 2013","","","","","04 May-26 May 2013","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/42719?disciplineId=10","ITA","2.UWT","1"
"Stage 5","08 May 2013","","","","","04 May-26 May 2013","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/42719?disciplineId=10","ITA","2.UWT","1"
"Stage 6","09 May 2013","","","","","04 May-26 May 2013","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/42719?disciplineId=10","ITA","2.UWT","1"
"Stage 7","10 May 2013","","","","","04 May-26 May 2013","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/42719?disciplineId=10","ITA","2.UWT","1"
"Stage 8","11 May 2013","","","","","04 May-26 May 2013","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/42719?disciplineId=10","ITA","2.UWT","1"
"Stage 9","12 May 2013","","","","","04 May-26 May 2013","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/42719?disciplineId=10","ITA","2.UWT","1"
"Stage 10","14 May 2013","","","","","04 May-26 May 2013","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/42719?disciplineId=10","ITA","2.UWT","1"
"Stage 11","15 May 2013","","","","","04 May-26 May 2013","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/42719?disciplineId=10","ITA","2.UWT","1"
"Stage 12","16 May 2013","","","","","04 May-26 May 2013","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/42719?disciplineId=10","ITA","2.UWT","1"
"Stage 13","17 May 2013","","","","","04 May-26 May 2013","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/42719?disciplineId=10","ITA","2.UWT","1"
"Stage 14","18 May 2013","","","","","04 May-26 May 2013","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/42719?disciplineId=10","ITA","2.UWT","1"
"Stage 15","19 May 2013","","","","","04 May-26 May 2013","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/42719?disciplineId=10","ITA","2.UWT","1"
"Stage 16","21 May 2013","","","","","04 May-26 May 2013","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/42719?disciplineId=10","ITA","2.UWT","1"
"Stage 17","22 May 2013","","","","","04 May-26 May 2013","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/42719?disciplineId=10","ITA","2.UWT","1"
"Stage 18","23 May 2013","","","","","04 May-26 May 2013","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/42719?disciplineId=10","ITA","2.UWT","1"
"Stage 20","25 May 2013","","","","","04 May-26 May 2013","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/42719?disciplineId=10","ITA","2.UWT","1"
"Stage 21","26 May 2013","","","","","04 May-26 May 2013","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/42719?disciplineId=10","ITA","2.UWT","1"
"Final Classification","26 May 2013","","https://dataride.uci.ch/iframe/EventResults/88900?competitionId=42719&disciplineId=10","https://dataride.uci.ch/iframe/EventResults/88901?competitionId=42719&disciplineId=10","","04 May-26 May 2013","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/42719?disciplineId=10","ITA","2.UWT","1"
"Stage 1","09 May 2009","","","","","09 May-31 May 2009","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/42722?disciplineId=10","ITA","2.CH","1"
"Stage 2","10 May 2009","","","","","09 May-31 May 2009","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/42722?disciplineId=10","ITA","2.CH","1"
"Stage 3","11 May 2009","","","","","09 May-31 May 2009","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/42722?disciplineId=10","ITA","2.CH","1"
"Stage 4","12 May 2009","","","","","09 May-31 May 2009","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/42722?disciplineId=10","ITA","2.CH","1"
"Stage 5","13 May 2009","","","","","09 May-31 May 2009","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/42722?disciplineId=10","ITA","2.CH","1"
"Stage 6","14 May 2009","","","","","09 May-31 May 2009","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/42722?disciplineId=10","ITA","2.CH","1"
"Stage 7","15 May 2009","","","","","09 May-31 May 2009","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/42722?disciplineId=10","ITA","2.CH","1"
"Stage 8","16 May 2009","","","","","09 May-31 May 2009","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/42722?disciplineId=10","ITA","2.CH","1"
"Stage 9","17 May 2009","","","","","09 May-31 May 2009","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/42722?disciplineId=10","ITA","2.CH","1"
"Stage 10","19 May 2009","","","","","09 May-31 May 2009","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/42722?disciplineId=10","ITA","2.CH","1"
"Stage 11","20 May 2009","","","","","09 May-31 May 2009","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/42722?disciplineId=10","ITA","2.CH","1"
"Stage 12","21 May 2009","","","","","09 May-31 May 2009","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/42722?disciplineId=10","ITA","2.CH","1"
"Stage 13","22 May 2009","","","","","09 May-31 May 2009","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/42722?disciplineId=10","ITA","2.CH","1"
"Stage 14","23 May 2009","","","","","09 May-31 May 2009","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/42722?disciplineId=10","ITA","2.CH","1"
"Stage 15","24 May 2009","","","","","09 May-31 May 2009","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/42722?disciplineId=10","ITA","2.CH","1"
"Stage 16","25 May 2009","","","","","09 May-31 May 2009","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/42722?disciplineId=10","ITA","2.CH","1"
"Stage 17","27 May 2009","","","","","09 May-31 May 2009","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/42722?disciplineId=10","ITA","2.CH","1"
"Stage 18","28 May 2009","","","","","09 May-31 May 2009","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/42722?disciplineId=10","ITA","2.CH","1"
"Stage 19","29 May 2009","","","","","09 May-31 May 2009","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/42722?disciplineId=10","ITA","2.CH","1"
"Stage 20","30 May 2009","","","","","09 May-31 May 2009","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/42722?disciplineId=10","ITA","2.CH","1"
"Stage 21","31 May 2009","","","","","09 May-31 May 2009","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/42722?disciplineId=10","ITA","2.CH","1"
"Final Classification","31 May 2009","","https://dataride.uci.ch/iframe/EventResults/143715?competitionId=42722&disciplineId=10","https://dataride.uci.ch/iframe/EventResults/143719?competitionId=42722&disciplineId=10","","09 May-31 May 2009","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/42722?disciplineId=10","ITA","2.CH","1"
"Stage 1","20 Aug 2011","","","","","20 Aug-11 Sep 2011","Vuelta a España","https://dataride.uci.ch/iframe/CompetitionResults/42669?disciplineId=10","ESP","2.UWT","1"
"Stage 2","21 Aug 2011","","","","","20 Aug-11 Sep 2011","Vuelta a España","https://dataride.uci.ch/iframe/CompetitionResults/42669?disciplineId=10","ESP","2.UWT","1"
"Stage 3","22 Aug 2011","","","","","20 Aug-11 Sep 2011","Vuelta a España","https://dataride.uci.ch/iframe/CompetitionResults/42669?disciplineId=10","ESP","2.UWT","1"
"Stage 4","23 Aug 2011","","","","","20 Aug-11 Sep 2011","Vuelta a España","https://dataride.uci.ch/iframe/CompetitionResults/42669?disciplineId=10","ESP","2.UWT","1"
"Stage 5","24 Aug 2011","","","","","20 Aug-11 Sep 2011","Vuelta a España","https://dataride.uci.ch/iframe/CompetitionResults/42669?disciplineId=10","ESP","2.UWT","1"
"Stage 6","25 Aug 2011","","","","","20 Aug-11 Sep 2011","Vuelta a España","https://dataride.uci.ch/iframe/CompetitionResults/42669?disciplineId=10","ESP","2.UWT","1"
"Stage 7","26 Aug 2011","","","","","20 Aug-11 Sep 2011","Vuelta a España","https://dataride.uci.ch/iframe/CompetitionResults/42669?disciplineId=10","ESP","2.UWT","1"
"Stage 8","27 Aug 2011","","","","","20 Aug-11 Sep 2011","Vuelta a España","https://dataride.uci.ch/iframe/CompetitionResults/42669?disciplineId=10","ESP","2.UWT","1"
"Stage 9","28 Aug 2011","","","","","20 Aug-11 Sep 2011","Vuelta a España","https://dataride.uci.ch/iframe/CompetitionResults/42669?disciplineId=10","ESP","2.UWT","1"
"Stage 10","29 Aug 2011","","","","","20 Aug-11 Sep 2011","Vuelta a España","https://dataride.uci.ch/iframe/CompetitionResults/42669?disciplineId=10","ESP","2.UWT","1"
"Stage 11","31 Aug 2011","","","","","20 Aug-11 Sep 2011","Vuelta a España","https://dataride.uci.ch/iframe/CompetitionResults/42669?disciplineId=10","ESP","2.UWT","1"
"Stage 12","01 Sep 2011","","","","","20 Aug-11 Sep 2011","Vuelta a España","https://dataride.uci.ch/iframe/CompetitionResults/42669?disciplineId=10","ESP","2.UWT","1"
