16-Aug-16,GP Capodarco - Comunit?� di Capodarco,/iframe/CompetitionResults/33358?disciplineId=10,ITA,1.2U,1
14-Aug-16,41?� Gran Premio Sportivi di Poggiana-41?�Trofeo Bonin Costruzioni-6?� Gran  Premio Pasta Zara,/iframe/CompetitionResults/32863?disciplineId=10,ITA,1.2U,1
29-May-16,Paris-Roubaix Espoirs,/iframe/CompetitionResults/33306?disciplineId=10,FRA,1.2U,1
8-May-16,9?� Tr. Citt?� di San Vendemiano - 56?� GP Industria & Commercio,/iframe/CompetitionResults/31916?disciplineId=10,ITA,1.2U,1
1-May-16,Rund um den Finanzplatz Eschborn-Frankfurt (U23),/iframe/CompetitionResults/34072?disciplineId=10,GER,1.2U,1
25-Apr-16,Gran Premio della Liberazione,/iframe/CompetitionResults/33296?disciplineId=10,ITA,1.2U,1
16-Apr-16,Li??ge - Bastogne - Li??ge,/iframe/CompetitionResults/34069?disciplineId=10,BEL,1.2U,1
3-Apr-16,68?� Trofeo Piva,/iframe/CompetitionResults/34064?disciplineId=10,ITA,1.2U,1
29-Mar-16,55?� G.P. Palio del Recioto - 34?� Memorial cav. Sante Carradori,/iframe/CompetitionResults/33717?disciplineId=10,ITA,1.2U,1
28-Mar-16,Giro del Belvedere,/iframe/CompetitionResults/33292?disciplineId=10,ITA,1.2U,1
15-Oct-11,Il Lombardia,/iframe/CompetitionResults/42919?disciplineId=10,ITA,1.UWT,1
11-Sep-11,Grand Prix Cycliste de Montr??al,/iframe/CompetitionResults/45421?disciplineId=10,CAN,1.UWT,1
9-Sep-11,Grand Prix Cycliste de Qu??bec,/iframe/CompetitionResults/45424?disciplineId=10,CAN,1.UWT,1
28-Aug-11,GP Ouest France - Plouay,/iframe/CompetitionResults/44440?disciplineId=10,FRA,1.UWT,1
21-Aug-11,Vattenfall Cyclassics,/iframe/CompetitionResults/43617?disciplineId=10,GER,1.UWT,1
30-Jul-11,Clasica Ciclista San Sebastian,/iframe/CompetitionResults/42839?disciplineId=10,ESP,1.UWT,1
24-Apr-11,Li??ge - Bastogne - Li??ge,/iframe/CompetitionResults/43551?disciplineId=10,BEL,1.UWT,1
20-Apr-11,La Fl??che Wallonne,/iframe/CompetitionResults/42667?disciplineId=10,BEL,1.UWT,1
17-Apr-11,Amstel Gold Race,/iframe/CompetitionResults/42676?disciplineId=10,NED,1.UWT,1
10-Apr-11,Paris - Roubaix,/iframe/CompetitionResults/42663?disciplineId=10,FRA,1.UWT,1
3-Apr-11,Ronde van Vlaanderen / Tour des Flandres,/iframe/CompetitionResults/42638?disciplineId=10,BEL,1.UWT,1
27-Mar-11,Gent - Wevelgem,/iframe/CompetitionResults/42651?disciplineId=10,BEL,1.UWT,1
19-Mar-11,Milano-Sanremo,/iframe/CompetitionResults/44842?disciplineId=10,ITA,1.UWT,1
29-Sep-12,Il Lombardia,/iframe/CompetitionResults/42916?disciplineId=10,ITA,1.UWT,1
9-Sep-12,Grand Prix Cycliste de Montr??al,/iframe/CompetitionResults/45420?disciplineId=10,CAN,1.UWT,1
7-Sep-12,Grand Prix Cycliste de Qu??bec,/iframe/CompetitionResults/45425?disciplineId=10,CAN,1.UWT,1
26-Aug-12,GP Ouest France - Plouay,/iframe/CompetitionResults/44442?disciplineId=10,FRA,1.UWT,1
19-Aug-12,Vattenfall Cyclassics,/iframe/CompetitionResults/43619?disciplineId=10,GER,1.UWT,1
14-Aug-12,Clasica Ciclista San Sebastian,/iframe/CompetitionResults/42840?disciplineId=10,ESP,1.UWT,1
22-Apr-12,Li??ge - Bastogne - Li??ge,/iframe/CompetitionResults/43556?disciplineId=10,BEL,1.UWT,1
18-Apr-12,La Fl??che Wallonne,/iframe/CompetitionResults/42674?disciplineId=10,BEL,1.UWT,1
15-Apr-12,Amstel Gold Race,/iframe/CompetitionResults/42694?disciplineId=10,NED,1.UWT,1
8-Apr-12,Paris - Roubaix,/iframe/CompetitionResults/42660?disciplineId=10,FRA,1.UWT,1
1-Apr-12,Ronde van Vlaanderen / Tour des Flandres,/iframe/CompetitionResults/42637?disciplineId=10,BEL,1.UWT,1
25-Mar-12,Gent - Wevelgem,/iframe/CompetitionResults/42645?disciplineId=10,BEL,1.UWT,1
23-Mar-12,E3 Prijs Vlaanderen - Harelbeke,/iframe/CompetitionResults/42585?disciplineId=10,BEL,1.UWT,1
17-Mar-12,Milano-Sanremo,/iframe/CompetitionResults/44837?disciplineId=10,ITA,1.UWT,1
6-Oct-13,Il Lombardia,/iframe/CompetitionResults/42938?disciplineId=10,ITA,1.UWT,1
15-Sep-13,Grand Prix Cycliste de Montr??al,/iframe/CompetitionResults/45419?disciplineId=10,CAN,1.UWT,1
13-Sep-13,Grand Prix Cycliste de Qu??bec,/iframe/CompetitionResults/45426?disciplineId=10,CAN,1.UWT,1
1-Sep-13,GP Ouest France - Plouay,/iframe/CompetitionResults/44441?disciplineId=10,FRA,1.UWT,1
25-Aug-13,Vattenfall Cyclassics,/iframe/CompetitionResults/43620?disciplineId=10,GER,1.UWT,1
27-Jul-13,Clasica Ciclista San Sebastian,/iframe/CompetitionResults/42841?disciplineId=10,ESP,1.UWT,1
21-Apr-13,Li??ge - Bastogne - Li??ge,/iframe/CompetitionResults/43554?disciplineId=10,BEL,1.UWT,1
17-Apr-13,La Fl??che Wallonne,/iframe/CompetitionResults/42675?disciplineId=10,BEL,1.UWT,1
14-Apr-13,Amstel Gold Race,/iframe/CompetitionResults/42692?disciplineId=10,NED,1.UWT,1
7-Apr-13,Paris - Roubaix,/iframe/CompetitionResults/42662?disciplineId=10,FRA,1.UWT,1
31-Mar-13,Ronde van Vlaanderen / Tour des Flandres,/iframe/CompetitionResults/42634?disciplineId=10,BEL,1.UWT,1
24-Mar-13,Gent - Wevelgem,/iframe/CompetitionResults/42646?disciplineId=10,BEL,1.UWT,1
22-Mar-13,E3 Harelbeke,/iframe/CompetitionResults/42586?disciplineId=10,BEL,1.UWT,1
17-Mar-13,Milano - Sanremo,/iframe/CompetitionResults/44839?disciplineId=10,ITA,1.UWT,1
5-Oct-14,Il Lombardia,/iframe/CompetitionResults/42917?disciplineId=10,ITA,1.UWT,1
14-Sep-14,Grand Prix Cycliste de Montr??al,/iframe/CompetitionResults/45418?disciplineId=10,CAN,1.UWT,1
12-Sep-14,Grand Prix Cycliste de Qu??bec,/iframe/CompetitionResults/45427?disciplineId=10,CAN,1.UWT,1
31-Aug-14,GP Ouest France - Plouay,/iframe/CompetitionResults/44460?disciplineId=10,FRA,1.UWT,1
24-Aug-14,Vattenfall Cyclassics,/iframe/CompetitionResults/43621?disciplineId=10,GER,1.UWT,1
2-Aug-14,Clasica Ciclista San Sebastian,/iframe/CompetitionResults/42842?disciplineId=10,ESP,1.UWT,1
27-Apr-14,Li??ge - Bastogne - Li??ge,/iframe/CompetitionResults/43555?disciplineId=10,BEL,1.UWT,1
23-Apr-14,La Fl??che Wallonne,/iframe/CompetitionResults/42665?disciplineId=10,BEL,1.UWT,1
20-Apr-14,Amstel Gold Race,/iframe/CompetitionResults/42693?disciplineId=10,NED,1.UWT,1
13-Apr-14,Paris - Roubaix,/iframe/CompetitionResults/42661?disciplineId=10,FRA,1.UWT,1
6-Apr-14,Ronde van Vlaanderen / Tour des Flandres,/iframe/CompetitionResults/42635?disciplineId=10,BEL,1.UWT,1
30-Mar-14,Gent-Wevelgem In Flanders Fields,/iframe/CompetitionResults/42648?disciplineId=10,BEL,1.UWT,1
28-Mar-14,E3 Harelbeke,/iframe/CompetitionResults/42593?disciplineId=10,BEL,1.UWT,1
23-Mar-14,Milano-Sanremo,/iframe/CompetitionResults/44838?disciplineId=10,ITA,1.UWT,1
4-Oct-15,Il Lombardia,/iframe/CompetitionResults/36196?disciplineId=10,ITA,1.UWT,1
13-Sep-15,Grand Prix Cycliste de Montr??al,/iframe/CompetitionResults/36853?disciplineId=10,CAN,1.UWT,1
11-Sep-15,Grand Prix Cycliste de Qu??bec,/iframe/CompetitionResults/36854?disciplineId=10,CAN,1.UWT,1
30-Aug-15,GP Ouest France - Plouay,/iframe/CompetitionResults/35896?disciplineId=10,FRA,1.UWT,1
23-Aug-15,Vattenfall Cyclassics,/iframe/CompetitionResults/36128?disciplineId=10,GER,1.UWT,1
1-Aug-15,Clasica Ciclista San Sebastian,/iframe/CompetitionResults/36183?disciplineId=10,ESP,1.UWT,1
26-Apr-15,Li??ge - Bastogne - Li??ge,/iframe/CompetitionResults/36121?disciplineId=10,BEL,1.UWT,1
22-Apr-15,La Fl??che Wallonne,/iframe/CompetitionResults/36161?disciplineId=10,BEL,1.UWT,1
19-Apr-15,Amstel Gold Race,/iframe/CompetitionResults/36163?disciplineId=10,NED,1.UWT,1
12-Apr-15,Paris - Roubaix,/iframe/CompetitionResults/36160?disciplineId=10,FRA,1.UWT,1
5-Apr-15,Ronde van Vlaanderen / Tour des Flandres,/iframe/CompetitionResults/36156?disciplineId=10,BEL,1.UWT,1
29-Mar-15,Gent - Wevelgem in Flanders Fields,/iframe/CompetitionResults/36158?disciplineId=10,BEL,1.UWT,1
27-Mar-15,E3 Harelbeke,/iframe/CompetitionResults/36149?disciplineId=10,BEL,1.UWT,1
22-Mar-15,Milano-Sanremo,/iframe/CompetitionResults/35724?disciplineId=10,ITA,1.UWT,1
1-Oct-16,Il Lombardia,/iframe/CompetitionResults/8117?disciplineId=10,ITA,1.UWT,1
11-Sep-16,Grand Prix Cycliste de Montr??al,/iframe/CompetitionResults/3396?disciplineId=10,CAN,1.UWT,1
9-Sep-16,Grand Prix Cycliste de Qu??bec,/iframe/CompetitionResults/8106?disciplineId=10,CAN,1.UWT,1
28-Aug-16,Bretagne Classic - Ouest-France,/iframe/CompetitionResults/3389?disciplineId=10,FRA,1.UWT,1
21-Aug-16,Cyclassics Hamburg,/iframe/CompetitionResults/11300?disciplineId=10,GER,1.UWT,1
30-Jul-16,Clasica Ciclista San Sebastian,/iframe/CompetitionResults/3373?disciplineId=10,ESP,1.UWT,1
24-Apr-16,Li??ge - Bastogne - Li??ge,/iframe/CompetitionResults/11232?disciplineId=10,BEL,1.UWT,1
20-Apr-16,La Fl??che Wallonne,/iframe/CompetitionResults/3316?disciplineId=10,BEL,1.UWT,1
17-Apr-16,Amstel Gold Race,/iframe/CompetitionResults/3788?disciplineId=10,NED,1.UWT,1
10-Apr-16,Paris - Roubaix,/iframe/CompetitionResults/32396?disciplineId=10,FRA,1.UWT,1
