"Stage Name","Stage Date","Stage Category","General Classification Url","Points Classification Url","Stage Classification Url","Competition Date","Competition Name","Competition Result Page Url","Country","Class Code","getsum"
"Final Classification","16 Apr 2011","","https://dataride.uci.ch/iframe/EventResults/131786?competitionId=44148&disciplineId=10","","","16-Apr-11","Liège - Bastogne - Liège","https://dataride.uci.ch/iframe/CompetitionResults/44148?disciplineId=10","BEL","1.2U","1"
"Prologue","03 Jul 2010","","","","","03 Jul-25 Jul 2010","Tour de France","https://dataride.uci.ch/iframe/CompetitionResults/42782?disciplineId=10","FRA","2.CH","1"
"Stage 1","04 Jul 2010","","","","","03 Jul-25 Jul 2010","Tour de France","https://dataride.uci.ch/iframe/CompetitionResults/42782?disciplineId=10","FRA","2.CH","1"
"Stage 2","05 Jul 2010","","","","","03 Jul-25 Jul 2010","Tour de France","https://dataride.uci.ch/iframe/CompetitionResults/42782?disciplineId=10","FRA","2.CH","1"
"Stage 3","06 Jul 2010","","","","","03 Jul-25 Jul 2010","Tour de France","https://dataride.uci.ch/iframe/CompetitionResults/42782?disciplineId=10","FRA","2.CH","1"
"Stage 4","07 Jul 2010","","","","","03 Jul-25 Jul 2010","Tour de France","https://dataride.uci.ch/iframe/CompetitionResults/42782?disciplineId=10","FRA","2.CH","1"
"Stage 5","08 Jul 2010","","","","","03 Jul-25 Jul 2010","Tour de France","https://dataride.uci.ch/iframe/CompetitionResults/42782?disciplineId=10","FRA","2.CH","1"
"Stage 6","09 Jul 2010","","","","","03 Jul-25 Jul 2010","Tour de France","https://dataride.uci.ch/iframe/CompetitionResults/42782?disciplineId=10","FRA","2.CH","1"
"Stage 7","10 Jul 2010","","","","","03 Jul-25 Jul 2010","Tour de France","https://dataride.uci.ch/iframe/CompetitionResults/42782?disciplineId=10","FRA","2.CH","1"
"Stage 8","11 Jul 2010","","","","","03 Jul-25 Jul 2010","Tour de France","https://dataride.uci.ch/iframe/CompetitionResults/42782?disciplineId=10","FRA","2.CH","1"
"Stage 9","13 Jul 2010","","","","","03 Jul-25 Jul 2010","Tour de France","https://dataride.uci.ch/iframe/CompetitionResults/42782?disciplineId=10","FRA","2.CH","1"
"Stage 10","14 Jul 2010","","","","","03 Jul-25 Jul 2010","Tour de France","https://dataride.uci.ch/iframe/CompetitionResults/42782?disciplineId=10","FRA","2.CH","1"
"Stage 11","15 Jul 2010","","","","","03 Jul-25 Jul 2010","Tour de France","https://dataride.uci.ch/iframe/CompetitionResults/42782?disciplineId=10","FRA","2.CH","1"
"Stage 12","16 Jul 2010","","","","","03 Jul-25 Jul 2010","Tour de France","https://dataride.uci.ch/iframe/CompetitionResults/42782?disciplineId=10","FRA","2.CH","1"
"Stage 13","17 Jul 2010","","","","","03 Jul-25 Jul 2010","Tour de France","https://dataride.uci.ch/iframe/CompetitionResults/42782?disciplineId=10","FRA","2.CH","1"
"Stage 14","18 Jul 2010","","","","","03 Jul-25 Jul 2010","Tour de France","https://dataride.uci.ch/iframe/CompetitionResults/42782?disciplineId=10","FRA","2.CH","1"
"Stage 15","19 Jul 2010","","","","","03 Jul-25 Jul 2010","Tour de France","https://dataride.uci.ch/iframe/CompetitionResults/42782?disciplineId=10","FRA","2.CH","1"
"Stage 16","20 Jul 2010","","","","","03 Jul-25 Jul 2010","Tour de France","https://dataride.uci.ch/iframe/CompetitionResults/42782?disciplineId=10","FRA","2.CH","1"
"Stage 17","22 Jul 2010","","","","","03 Jul-25 Jul 2010","Tour de France","https://dataride.uci.ch/iframe/CompetitionResults/42782?disciplineId=10","FRA","2.CH","1"
"Stage 18","23 Jul 2010","","","","","03 Jul-25 Jul 2010","Tour de France","https://dataride.uci.ch/iframe/CompetitionResults/42782?disciplineId=10","FRA","2.CH","1"
"Stage 19","24 Jul 2010","","","","","03 Jul-25 Jul 2010","Tour de France","https://dataride.uci.ch/iframe/CompetitionResults/42782?disciplineId=10","FRA","2.CH","1"
"Stage 20","25 Jul 2010","","","","","03 Jul-25 Jul 2010","Tour de France","https://dataride.uci.ch/iframe/CompetitionResults/42782?disciplineId=10","FRA","2.CH","1"
"Final Classification","25 Jul 2010","","https://dataride.uci.ch/iframe/EventResults/135688?competitionId=42782&disciplineId=10","https://dataride.uci.ch/iframe/EventResults/135689?competitionId=42782&disciplineId=10","","03 Jul-25 Jul 2010","Tour de France","https://dataride.uci.ch/iframe/CompetitionResults/42782?disciplineId=10","FRA","2.CH","1"
"Final Classification","25 Apr 2011","","https://dataride.uci.ch/iframe/EventResults/131561?competitionId=43446&disciplineId=10","","","25-Apr-11","Gran Premio della Liberazione","https://dataride.uci.ch/iframe/CompetitionResults/43446?disciplineId=10","ITA","1.2U","1"
"Final Classification","31 May 2009","","https://dataride.uci.ch/iframe/EventResults/143249?competitionId=45045&disciplineId=10","","","31-May-09","Tr. Città di San Vendemiano - GP Industria e Commercio","https://dataride.uci.ch/iframe/CompetitionResults/45045?disciplineId=10","ITA","1.2U","1"
"Final Classification","29 May 2011","","https://dataride.uci.ch/iframe/EventResults/128426?competitionId=45046&disciplineId=10","","","29-May-11","GP Industria e Commercio - Tr. Città di San Vendemiano","https://dataride.uci.ch/iframe/CompetitionResults/45046?disciplineId=10","ITA","1.2U","1"
"Final Classification","09 Oct 2011","","https://dataride.uci.ch/iframe/EventResults/125136?competitionId=43678&disciplineId=10","","","9-Oct-11","Paris-Tours Espoirs","https://dataride.uci.ch/iframe/CompetitionResults/43678?disciplineId=10","FRA","1.2U","1"
"Final Classification","17 Apr 2011","","https://dataride.uci.ch/iframe/EventResults/131757?competitionId=42676&disciplineId=10","","","17-Apr-11","Amstel Gold Race","https://dataride.uci.ch/iframe/CompetitionResults/42676?disciplineId=10","NED","1.UWT","1"
