"Stage Name","Stage Date","Stage Category","General Classification Url","Points Classification Url","Stage Classification Url","Competition Date","Competition Name","Competition Result Page Url","Country","Class Code","getsum","Rider Rank","Rider Name","Rider Nation","Rider Team","Rider Age","Rider Result","Rider Points",
"Stage 2","21 Aug 2016","","https://dataride.uci.ch/iframe/EventResults/72484?competitionId=3858&disciplineId=10","https://dataride.uci.ch/iframe/EventResults/72304?competitionId=3858&disciplineId=10","https://dataride.uci.ch/iframe/EventResults/72264?competitionId=3858&disciplineId=10","20 Aug-11 Sep 2016","Vuelta a España","https://dataride.uci.ch/iframe/CompetitionResults/3858?disciplineId=10","ESP","2.UWT","1","18","HOWSON Damien","AUS","ORICA-BIKEEXCHANGE","24","+6","",
"Stage 2","21 Aug 2016","","https://dataride.uci.ch/iframe/EventResults/72484?competitionId=3858&disciplineId=10","https://dataride.uci.ch/iframe/EventResults/72304?competitionId=3858&disciplineId=10","https://dataride.uci.ch/iframe/EventResults/72264?competitionId=3858&disciplineId=10","20 Aug-11 Sep 2016","Vuelta a España","https://dataride.uci.ch/iframe/CompetitionResults/3858?disciplineId=10","ESP","2.UWT","1","17","GERRANS Simon","AUS","ORICA-BIKEEXCHANGE","36","+6","",
"Stage 2","21 Aug 2016","","https://dataride.uci.ch/iframe/EventResults/72484?competitionId=3858&disciplineId=10","https://dataride.uci.ch/iframe/EventResults/72304?competitionId=3858&disciplineId=10","https://dataride.uci.ch/iframe/EventResults/72264?competitionId=3858&disciplineId=10","20 Aug-11 Sep 2016","Vuelta a España","https://dataride.uci.ch/iframe/CompetitionResults/3858?disciplineId=10","ESP","2.UWT","1","16","YATES Simon","GBR","ORICA-BIKEEXCHANGE","24","+6","",
"Stage 2","21 Aug 2016","","https://dataride.uci.ch/iframe/EventResults/72484?competitionId=3858&disciplineId=10","https://dataride.uci.ch/iframe/EventResults/72304?competitionId=3858&disciplineId=10","https://dataride.uci.ch/iframe/EventResults/72264?competitionId=3858&disciplineId=10","20 Aug-11 Sep 2016","Vuelta a España","https://dataride.uci.ch/iframe/CompetitionResults/3858?disciplineId=10","ESP","2.UWT","1","15","CHAVES RUBIO Jhoan Esteban","COL","ORICA-BIKEEXCHANGE","26","+6","",
"Stage 2","21 Aug 2016","","https://dataride.uci.ch/iframe/EventResults/72484?competitionId=3858&disciplineId=10","https://dataride.uci.ch/iframe/EventResults/72304?competitionId=3858&disciplineId=10","https://dataride.uci.ch/iframe/EventResults/72264?competitionId=3858&disciplineId=10","20 Aug-11 Sep 2016","Vuelta a España","https://dataride.uci.ch/iframe/CompetitionResults/3858?disciplineId=10","ESP","2.UWT","1","14","KEUKELEIRE Jens","BEL","ORICA-BIKEEXCHANGE","28","+6","",
"Stage 2","21 Aug 2016","","https://dataride.uci.ch/iframe/EventResults/72484?competitionId=3858&disciplineId=10","https://dataride.uci.ch/iframe/EventResults/72304?competitionId=3858&disciplineId=10","https://dataride.uci.ch/iframe/EventResults/72264?competitionId=3858&disciplineId=10","20 Aug-11 Sep 2016","Vuelta a España","https://dataride.uci.ch/iframe/CompetitionResults/3858?disciplineId=10","ESP","2.UWT","1","13","GILBERT Philippe","BEL","BMC RACING TEAM","34","+4","",
"Stage 2","21 Aug 2016","","https://dataride.uci.ch/iframe/EventResults/72484?competitionId=3858&disciplineId=10","https://dataride.uci.ch/iframe/EventResults/72304?competitionId=3858&disciplineId=10","https://dataride.uci.ch/iframe/EventResults/72264?competitionId=3858&disciplineId=10","20 Aug-11 Sep 2016","Vuelta a España","https://dataride.uci.ch/iframe/CompetitionResults/3858?disciplineId=10","ESP","2.UWT","1","12","NIELSEN Magnus Cort","DEN","ORICA-BIKEEXCHANGE","23","+2","",
"Stage 2","21 Aug 2016","","https://dataride.uci.ch/iframe/EventResults/72484?competitionId=3858&disciplineId=10","https://dataride.uci.ch/iframe/EventResults/72304?competitionId=3858&disciplineId=10","https://dataride.uci.ch/iframe/EventResults/72264?competitionId=3858&disciplineId=10","20 Aug-11 Sep 2016","Vuelta a España","https://dataride.uci.ch/iframe/CompetitionResults/3858?disciplineId=10","ESP","2.UWT","1","11","CASTROVIEJO Jonathan","ESP","MOVISTAR TEAM","29","+0","",
"Stage 2","21 Aug 2016","","https://dataride.uci.ch/iframe/EventResults/72484?competitionId=3858&disciplineId=10","https://dataride.uci.ch/iframe/EventResults/72304?competitionId=3858&disciplineId=10","https://dataride.uci.ch/iframe/EventResults/72264?competitionId=3858&disciplineId=10","20 Aug-11 Sep 2016","Vuelta a España","https://dataride.uci.ch/iframe/CompetitionResults/3858?disciplineId=10","ESP","2.UWT","1","10","FERNANDEZ Ruben","ESP","MOVISTAR TEAM","25","+0","",
"Stage 2","21 Aug 2016","","https://dataride.uci.ch/iframe/EventResults/72484?competitionId=3858&disciplineId=10","https://dataride.uci.ch/iframe/EventResults/72304?competitionId=3858&disciplineId=10","https://dataride.uci.ch/iframe/EventResults/72264?competitionId=3858&disciplineId=10","20 Aug-11 Sep 2016","Vuelta a España","https://dataride.uci.ch/iframe/CompetitionResults/3858?disciplineId=10","ESP","2.UWT","1","9","KONIG Leopold","CZE","TEAM SKY","29","+0","",
