world utility per tick,agent count,min curiosity,max curiosity,mean curiosity,Skewness curiosity,standard deviation curiosity,min iUtilityPerTick,max iUtilityPerTick,mean iUtilityPerTick,Skewness iUtilityPerTick,standard deviation iUtilityPerTick,min money,max money,mean money,Skewness money,standard deviation money,mean isEducated,Skewness isEducated,standard deviation isEducated,job count,min wages,max wages,mean wages,Skewness wages,standard deviation wages,min educatedBonusWages,max educatedBonusWages,mean educatedBonusWages,Skewness educatedBonusWages,standard deviation educatedBonusWages,min reputation,max reputation,mean reputation,Skewness reputation,standard deviation reputation,school count,min school price,max school price,mean school price,Skewness school price,standard deviation school price,min school reputation,max school reputation,mean school reputation,Skewness school reputation,standard deviation school reputation,min school suffering,max school suffering,mean school suffering,Skewness school suffering,standard deviation school suffering,terminal tick count,ticks per second,batch size,forced model termination,blind mode
102.2021497,22,0.093773372,0.920473031,0.489447866,-0.028645039,0.232383723,3.137245931,5.344979716,4.645552257,-0.875582564,0.551919896,-2.30125607,2.53184434,-0.03606111,0.073338545,1.034903708,0.5,4.34E-17,0.5,1283,0.00081918,3.58178008,0.78581989,0.99260161,0.594104937,-3.191248865,2.891279856,-0.008184079,0.019982199,1.003481661,-3.407111163,3.247829297,0.014620532,-0.026483075,1.026691483,126,0.010912325,2.331731142,0.847862876,0.615406985,0.5571457,-2.00266849,2.548552618,0.005639147,0.27339542,0.992384401,-2.454954223,2.463472756,-0.209676479,0.085092164,0.085092164,1007,11,5,FALSE,TRUE
105.9278386,24,0.017106607,0.978866712,0.461642652,-0.090710959,0.267012927,2.911235992,5.769078838,4.413659941,0.276200159,0.676423242,-1.997955843,2.028134666,-0.286155134,0.298233581,0.861214257,0.375,0.55148185,0.484122918,1327,0.000282233,3.173630874,0.770405551,0.978573469,0.579552728,-3.112392285,3.282582205,0.00778843,0.040372573,0.975991585,-2.988347542,3.134348128,0.007317957,0.001030591,1.008857173,118,0.009538414,2.777615922,0.865303636,0.792589166,0.631101563,-2.131497014,2.626427116,-0.129488057,0.214606325,0.951405048,-3.000931709,2.669740397,0.077746816,-0.380348406,-0.380348406,1001,10,5,FALSE,TRUE
196.8744458,38,0.065938738,0.998347273,0.573700243,-0.169081289,0.291241135,3.423176082,5.987203056,5.180906469,-0.685344918,0.655309524,-2.297734744,2.479563584,-0.025056031,-0.039844223,0.942945081,0.526315789,-0.109791547,0.499306999,1271,0.001561516,3.553363371,0.796451164,0.923314361,0.605854352,-3.394731525,3.168602134,0.004041509,-0.047616147,0.999712326,-2.812379336,3.437687394,0.002132534,0.122338268,1.000212507,144,0.007129847,3.292199376,0.896280832,1.016618809,0.637603718,-2.928912106,2.287875127,0.043509569,-0.287702159,0.99502334,-2.455595831,2.624435753,0.012076223,0.146306161,0.146306161,1001,7,5,FALSE,TRUE
6.110176812,1,0.754729279,0.754729279,0.754729279,0,0,6.110176812,6.110176812,6.110176812,0,0,0.043501062,0.043501062,0.043501062,0,0,1,0,0,1314,3.45E-06,3.102190849,0.798250354,0.942488838,0.60354838,-2.891220434,3.402743935,-0.014681114,-0.022879131,1.010504553,-2.997759886,3.281472811,-0.000589062,0.046785567,0.981742902,134,0.021779982,3.783295335,0.872653763,1.297558802,0.659569523,-3.551444816,2.745835867,0.004953045,-0.025566686,1.031828269,-2.38967276,2.710744132,0.07899724,0.104463806,0.104463806,1004,13,18,FALSE,TRUE
9.398504319,2,0.516590897,0.876338996,0.696464947,0,0.17987405,4.120147186,5.278357133,4.69925216,0,0.579104973,0.402338698,1.83029796,1.116318329,0,0.713979631,0.5,0,0.5,1275,4.47E-05,3.215552495,0.771172859,1.038279094,0.599392537,-2.907761586,3.883228303,0.008751021,0.144421907,0.993695148,-2.808805054,4.48818092,0.018631539,0.090067098,1.023785417,137,0.000679136,2.663276122,0.730011629,1.106920087,0.559130657,-2.057524669,2.29821411,0.055132907,0.017352041,0.91062325,-2.344389933,3.310306439,0.052315757,0.174287743,0.174287743,1004,11,18,FALSE,TRUE
19.23234191,4,0.107902526,0.793931242,0.497858923,-0.696134636,0.261901503,3.781814769,5.499626711,4.808085477,-0.60148784,0.715679084,-0.535809368,2.737975573,0.692217725,1.361768692,1.255825671,0.5,0,0.5,1350,0.000176058,2.968271037,0.791379871,0.822152214,0.583840144,-3.580330586,3.246549071,0.004404959,0.053353216,0.995993318,-3.297262916,3.433664158,0.011203886,-0.013115186,0.969287105,133,0.009958589,3.239640084,0.852032341,1.200338551,0.619298847,-2.433934129,3.094508355,0.034999254,0.208711693,0.99286123,-2.393206941,2.942748615,-0.046168885,-0.002510045,-0.002510045,1002,9,18,FALSE,TRUE
24.39075734,5,0.35093865,0.994639998,0.638836575,0.510634932,0.244542252,4.121593876,5.505534245,4.878151469,-0.552030261,0.621501545,-1.451309361,1.65243074,-0.087452993,0.658987924,1.052093593,0.4,0.608580619,0.489897949,1290,0.000740889,3.312824234,0.80861901,0.789078377,0.591514303,-2.969687181,2.870338127,0.01416506,0.026059736,0.992672932,-3.663107001,3.318557496,-0.014155153,-0.0611358,0.993334443,121,0.002455649,2.347344777,0.746920791,0.895758942,0.565379053,-1.812918051,3.501062625,0.095987144,0.825097303,0.901500071,-2.343953685,2.88123498,-0.062092794,0.364219736,0.364219736,1005,9,18,FALSE,TRUE
38.96416509,9,0.04736761,0.980987142,0.440019938,0.281842978,0.310167411,3.051533624,5.240883112,4.329351676,-0.230003001,0.674714433,-1.162020547,0.609036298,-0.368577472,0.115446611,0.532086321,0.222222222,1.619847741,0.41573971,1328,0.002930808,4.591913176,0.836339217,1.20194868,0.642267856,-2.993350901,3.363074515,0.017521359,0.003783997,0.985276717,-3.92705716,3.688423257,-0.004958301,-0.074956284,0.970162239,128,0.023743502,3.046159085,0.868585757,0.993956984,0.653262932,-2.301636355,3.25998977,-0.06880397,0.45194958,0.983155857,-2.480749662,2.438157044,0.07948349,-0.219529629,-0.219529629,1003,7,18,FALSE,TRUE
55.6360852,12,0.072594716,0.981281198,0.351620568,1.392607964,0.271902784,3.694971066,5.415001263,4.636340433,-0.536259524,0.528758834,-2.548632348,0.956064911,-0.352894908,-1.306032576,0.909422773,0.416666667,0.388403325,0.493006649,1319,0.000638271,3.366544741,0.804458605,0.919784436,0.602366355,-3.029053814,3.318182996,0.019430294,0.028367668,0.986613737,-3.044784577,3.89969108,0.009035731,-0.002746516,1.005760409,121,0.001518011,3.06788133,0.766666382,1.052374176,0.5970584,-2.629647688,2.336944133,0.039448416,0.057614864,1.054998305,-2.055138048,2.887348209,0.06215547,0.378599509,0.378599509,1002,6,18,FALSE,TRUE
63.36071833,13,0.249945458,0.98085393,0.574211872,0.406672286,0.261372782,4.012708772,5.744122939,4.87390141,0.377219851,0.558933015,-1.45297602,0.857777565,0.03186484,-0.948914748,0.643902238,0.538461538,-0.175204384,0.498518515,1293,0.000661964,3.571624134,0.791336137,1.062159672,0.602188215,-2.977297597,3.751241929,0.018174131,0.008593785,0.9936075,-3.451091586,2.933207159,-0.03913411,-0.034757904,0.994309831,138,0.014597906,3.001119088,0.765915776,1.17453035,0.57272421,-2.641152282,2.301417904,-0.061511854,-0.101378713,1.07581899,-2.16954287,1.809245133,-0.004659851,-0.040765009,-0.040765009,1001,6,18,FALSE,TRUE
